defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
N=1000_M=200,,0,9.55,9.53,0.0,1884
N=1000_M=200,,1,9.55,9.52,0.0,1896
N=1000_M=200,,2,9.55,9.53,0.0,1900
