defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
CMAKE_C_FLAGS=-O1,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,6,3.7,3.69,0.0,1500
CMAKE_C_FLAGS=-O2,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,6,3.12,3.11,0.0,1420
CMAKE_C_FLAGS=-O3,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,6,3.19,3.18,0.0,1540
CMAKE_C_FLAGS=-Os,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,6,3.67,3.66,0.0,1524
CMAKE_C_FLAGS=-Ofast,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,6,3.2,3.19,0.0,1524
CMAKE_C_FLAGS=-O0,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,7,13.99,13.95,0.0,1512
CMAKE_C_FLAGS=-O1,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,7,3.69,3.67,0.0,1508
CMAKE_C_FLAGS=-O2,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,7,3.12,3.11,0.0,1520
CMAKE_C_FLAGS=-O3,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,7,3.19,3.18,0.0,1516
CMAKE_C_FLAGS=-Os,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,7,3.67,3.66,0.0,1576
CMAKE_C_FLAGS=-Ofast,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,7,3.19,3.18,0.0,1500
CMAKE_C_FLAGS=-O0,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,8,13.99,13.96,0.0,1572
CMAKE_C_FLAGS=-O1,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,8,3.71,3.69,0.0,1524
CMAKE_C_FLAGS=-O2,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,8,3.11,3.1,0.0,1508
CMAKE_C_FLAGS=-O3,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,8,3.19,3.18,0.0,1500
CMAKE_C_FLAGS=-Os,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,8,3.66,3.65,0.0,1528
CMAKE_C_FLAGS=-Ofast,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,8,3.19,3.18,0.0,1496
CMAKE_C_FLAGS=-O0,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,9,13.99,13.96,0.0,1600
CMAKE_C_FLAGS=-O1,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,9,3.7,3.69,0.0,1496
CMAKE_C_FLAGS=-O2,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,9,3.12,3.11,0.0,1540
CMAKE_C_FLAGS=-O3,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,9,3.19,3.18,0.0,1520
CMAKE_C_FLAGS=-Os,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,9,3.66,3.65,0.0,1520
CMAKE_C_FLAGS=-Ofast,/scratch/cb761230/perf-oriented-dev/small_samples/qap/problems/chr15c.dat,9,3.19,3.18,0.0,1496
