defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
S=1024,,0,3.37,3.35,0.0,26208
S=1024,,1,3.41,3.38,0.01,26016
S=1024,,2,3.43,3.41,0.0,26136
