defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,,0,1.22,0.08,1.1,1768
default,,1,1.17,0.05,1.11,1484
default,,2,1.18,0.06,1.09,1616
default,,3,1.15,0.06,1.08,1620
default,,4,1.17,0.08,1.08,1632
default,,5,1.16,0.06,1.09,1620
default,,6,1.12,0.06,1.05,1704
default,,7,1.13,0.08,1.04,1704
default,,8,1.11,0.09,1.01,1636
default,,9,1.14,0.08,1.04,1568
