defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
N=1000_M=200,,0,3.55,3.54,0.0,2012
N=1000_M=200,,1,3.53,3.52,0.0,2132
N=1000_M=200,,2,3.57,3.56,0.0,2060
N=1000_M=200,,3,3.56,3.55,0.0,2096
