args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
../../small_samples/qap/problems/chr10a.dat,1,27.46,0.0,0.01,8980
../../small_samples/qap/problems/chr10a.dat,2,29.96,0.0,0.01,8932
