args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
13,1,3.78,0.01,0.02,8916
13,2,29.97,0.0,0.01,8968
14,1,38.94,0.0,0.01,8944
14,2,29.97,0.0,0.02,8948
