args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
,1,0.18,0.0,0.17,1716
,2,0.18,0.01,0.16,1616
,3,0.17,0.01,0.15,1572
,4,0.18,0.01,0.16,1768
