defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,,0,11.54,11.47,0.0,4436
default,,1,11.7,11.66,0.0,4612
default,,2,11.47,11.43,0.0,4612
default,,3,11.62,11.58,0.0,4420
default,,4,11.54,11.49,0.0,4432
default,,5,11.55,11.51,0.0,4536
default,,6,11.71,11.67,0.0,4432
default,,7,11.64,11.59,0.0,4540
default,,8,11.55,11.5,0.0,4432
default,,9,11.6,11.55,0.0,4560
