defines,args,rep,wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
default,chr15b.dat,0,1.55,1.54,0.0,1624
default,chr15b.dat,1,1.53,1.52,0.0,1548
default,chr15b.dat,2,1.53,1.53,0.0,1624
default,chr15b.dat,3,1.54,1.53,0.0,1684
