wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb
12.39,12.33,0.0,11460
12.47,12.41,0.0,10876
12.37,12.32,0.0,11324
12.37,12.32,0.0,10108
12.37,12.31,0.0,10820
12.4,12.35,0.0,10408
12.39,12.34,0.0,11472
12.37,12.31,0.0,12116
12.41,12.36,0.0,10352
12.38,12.33,0.0,11880
12.35,12.3,0.0,11112
12.36,12.31,0.0,11960
12.37,12.31,0.0,11688
12.39,12.33,0.0,10408
12.25,12.2,0.0,11156
12.39,12.33,0.0,10180
12.39,12.33,0.0,10960
