wall_clock_s,user_cpu_s,sys_cpu_s,max_rss_kb,rep
359.15999999999997,349.65,6.61,588116,0
358.95,349.48,6.6,589912,1
359.17,349.64,6.63,588152,0
357.26,347.84,6.55,589532,1
359.89,350.29,6.68,590180,0
359.28,349.81,6.59,589888,1
