Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.67     0.00       84     0.00     0.00  luaK_checkstack
  0.00     12.67     0.00       83     0.00     0.00  lua_settop
  0.00     12.67     0.00       79     0.00     0.00  str_checkname
  0.00     12.67     0.00       77     0.00     0.00  luaK_reserveregs
  0.00     12.67     0.00       76     0.00     0.00  freeexp
  0.00     12.67     0.00       75     0.00     0.00  luaY_checklimit
  0.00     12.67     0.00       73     0.00     0.00  resizearray
  0.00     12.67     0.00       73     0.00     0.00  setnodevector
  0.00     12.67     0.00       66     0.00     0.00  discharge2reg
  0.00     12.67     0.00       66     0.00     0.00  exp2reg
  0.00     12.67     0.00       64     0.00     0.00  getbinopr
  0.00     12.67     0.00       64     0.00     0.00  getunopr
  0.00     12.67     0.00       64     0.00     0.00  simpleexp
  0.00     12.67     0.00       63     0.00     0.00  f_call
  0.00     12.67     0.00       63     0.00     0.00  luaK_exp2nextreg
  0.00     12.67     0.00       63     0.00     0.00  numusearray
  0.00     12.67     0.00       58     0.00     0.00  buildvar
  0.00     12.67     0.00       58     0.00     0.00  singlevar
  0.00     12.67     0.00       55     0.00     0.00  expr
  0.00     12.67     0.00       55     0.00     0.00  primaryexp
  0.00     12.67     0.00       55     0.00     0.00  subexpr
  0.00     12.67     0.00       55     0.00     0.00  suffixedexp
  0.00     12.67     0.00       51     0.00     0.00  luaO_ceillog2
  0.00     12.67     0.00       50     0.00     0.00  luaC_fix
  0.00     12.67     0.00       49     0.00     0.00  getglobalattribute
  0.00     12.67     0.00       47     0.00     0.00  clearNewSlice
  0.00     12.67     0.00       47     0.00     0.00  exchangehashpart
  0.00     12.67     0.00       47     0.00     0.00  luaH_resize
  0.00     12.67     0.00       45     0.00     0.00  luaH_get
  0.00     12.67     0.00       44     0.00     0.00  freereg
  0.00     12.67     0.00       44     0.00     0.00  luaH_pset
  0.00     12.67     0.00       44     0.00     0.00  luaH_set
  0.00     12.67     0.00       43     0.00     0.00  inclinenumber
