size_kb,latency_ns
1,3.373084
2,1.994884
4,4.080783
8,4.074865
16,2.038654
32,2.542403
64,3.180247
128,3.682570
256,4.459696
512,5.544620
1024,7.927538
2048,9.527822
4096,9.984652
8192,9.527030
16384,40.104596
32768,60.880250
65536,82.197057
131072,86.413634
262144,92.027536
524288,98.977011
1048576,110.631409
